Date,Open,High,Low,Close,Adj Close,Volume
2013-02-14,25.420000,25.450001,25.400000,25.450001,25.006012,688
2013-02-15,25.450001,25.450001,25.450001,25.450001,25.006012,0
2013-02-19,25.549999,25.549999,25.549999,25.549999,25.104269,1013
2013-02-20,26.000000,26.000000,25.750000,25.750000,25.300777,346
2013-02-21,25.750000,25.750000,25.750000,25.750000,25.300777,0
2013-02-22,25.750000,25.750000,25.750000,25.750000,25.300777,0
2013-02-25,26.690001,26.690001,26.690001,26.690001,26.224380,584
2013-02-26,26.690001,26.690001,26.690001,26.690001,26.224380,0
2013-02-27,26.690001,26.690001,26.690001,26.690001,26.224380,0
2013-02-28,26.690001,26.690001,26.690001,26.690001,26.224380,0
2013-03-01,26.690001,26.690001,26.690001,26.690001,26.224380,0
2013-03-04,26.150000,26.150000,26.150000,26.150000,25.693800,902
2013-03-05,26.879999,26.879999,26.879999,26.879999,26.411064,744
2013-03-06,26.879999,26.879999,26.879999,26.879999,26.411064,0
2013-03-07,26.750000,26.750000,26.750000,26.750000,26.283335,130
2013-03-08,26.750000,26.750000,26.750000,26.750000,26.283335,0
2013-03-11,26.750000,26.750000,26.750000,26.750000,26.283335,0
2013-03-12,26.511999,26.549999,26.511999,26.549999,26.086821,1575
2013-03-13,26.600000,26.600000,26.600000,26.600000,26.135950,150
2013-03-14,26.420000,26.420000,26.420000,26.420000,25.959091,973
2013-03-15,26.420000,26.420000,26.420000,26.420000,25.959091,0
2013-03-18,26.420000,26.420000,26.420000,26.420000,25.959091,0
2013-03-19,26.730000,26.730000,26.730000,26.730000,26.263680,139
2013-03-20,26.350000,26.350000,26.350000,26.350000,25.890312,130
2013-03-21,26.314899,26.314899,26.314899,26.314899,25.855825,118
2013-03-22,26.000000,26.000000,26.000000,26.000000,25.546417,570
2013-03-25,26.000000,26.000000,26.000000,26.000000,25.546417,0
2013-03-26,26.000000,26.000000,26.000000,26.000000,25.546417,0
2013-03-27,26.600000,26.600000,26.600000,26.600000,26.135950,100
2013-03-28,27.669800,27.669800,27.669800,27.669800,27.187090,109
2013-04-01,27.669800,27.669800,27.669800,27.669800,27.187090,0
2013-04-02,28.200001,28.200001,28.200001,28.200001,27.708038,312
2013-04-03,28.150000,28.150000,28.150000,28.150000,27.658911,174
2013-04-04,26.799999,26.799999,26.799999,26.799999,26.332460,2593
2013-04-05,26.799999,26.799999,26.799999,26.799999,26.332460,0
2013-04-08,26.799999,26.799999,26.799999,26.799999,26.332460,0
2013-04-09,26.799999,26.799999,26.799999,26.799999,26.332460,0
2013-04-10,26.589001,26.589001,26.589001,26.589001,26.125143,103
2013-04-11,26.589001,26.589001,26.589001,26.589001,26.125143,0
2013-04-12,26.589001,26.589001,26.589001,26.589001,26.125143,0
2013-04-15,26.589001,26.589001,26.589001,26.589001,26.125143,0
2013-04-16,26.589001,26.589001,26.589001,26.589001,26.125143,0
2013-04-17,26.589001,26.589001,26.589001,26.589001,26.125143,0
2013-04-18,26.589001,26.589001,26.589001,26.589001,26.125143,0
2013-04-19,26.589001,26.589001,26.589001,26.589001,26.125143,0
2013-04-22,26.589001,26.589001,26.589001,26.589001,26.125143,0
2013-04-23,26.589001,26.589001,26.589001,26.589001,26.125143,0
2013-04-24,26.589001,26.589001,26.589001,26.589001,26.125143,0
2013-04-25,27.000000,27.000000,27.000000,27.000000,26.528973,503
2013-04-26,27.000000,27.000000,27.000000,27.000000,26.528973,0
2013-04-29,27.000000,27.000000,27.000000,27.000000,26.528973,0
2013-04-30,27.000000,27.000000,26.549999,26.549999,26.086821,767
2013-05-01,26.549999,26.549999,26.549999,26.549999,26.086821,0
2013-05-02,27.049999,27.049999,27.049999,27.049999,26.578100,1697
2013-05-03,27.000000,27.000000,27.000000,27.000000,26.528973,188
2013-05-06,26.900000,26.900000,26.900000,26.900000,26.430719,2341
2013-05-07,27.000000,27.000000,27.000000,27.000000,26.528973,105
2013-05-08,27.020000,27.020000,27.020000,27.020000,26.548624,1250
2013-05-09,27.020000,27.020000,27.020000,27.020000,26.548624,0
2013-05-10,27.020000,27.020000,27.020000,27.020000,26.548624,0
2013-05-13,27.450001,27.450001,27.450001,27.450001,26.971123,885
2013-05-14,27.549999,27.549999,27.549999,27.549999,27.069378,276
2013-05-15,27.549999,27.549999,27.549999,27.549999,27.069378,0
2013-05-16,28.100000,28.100000,28.100000,28.100000,27.609783,347
2013-05-17,28.100000,28.100000,28.100000,28.100000,27.609783,0
2013-05-20,28.100000,28.100000,28.100000,28.100000,27.609783,0
2013-05-21,28.100000,28.100000,28.100000,28.100000,27.609783,0
2013-05-22,28.400000,28.400000,28.400000,28.400000,27.904551,114
2013-05-23,27.750000,27.750000,27.750000,27.750000,27.265888,100
2013-05-24,27.750000,27.750000,27.750000,27.750000,27.265888,0
2013-05-28,27.750000,27.750000,27.750000,27.750000,27.265888,0
2013-05-29,27.750000,27.750000,27.750000,27.750000,27.265888,0
2013-05-30,27.750000,27.750000,27.750000,27.750000,27.265888,0
2013-05-31,28.809999,28.809999,28.809999,28.809999,28.307394,2000
2013-06-03,28.809999,28.809999,28.809999,28.809999,28.307394,0
2013-06-04,28.809999,28.809999,28.809999,28.809999,28.307394,0
2013-06-05,28.809999,28.809999,28.809999,28.809999,28.307394,0
2013-06-06,28.809999,28.809999,28.809999,28.809999,28.307394,0
2013-06-07,28.809999,28.809999,28.809999,28.809999,28.307394,0
2013-06-10,29.250000,29.250000,29.250000,29.250000,28.739719,370
2013-06-11,29.250000,29.250000,29.250000,29.250000,28.739719,215
2013-06-12,29.190001,29.190001,29.190001,29.190001,28.680767,112
2013-06-13,28.500000,29.000000,28.500000,29.000000,28.494081,1126
2013-06-14,29.000000,29.000000,29.000000,29.000000,28.494081,0
2013-06-17,29.000000,29.000000,29.000000,29.000000,28.494081,0
2013-06-18,29.000000,29.000000,29.000000,29.000000,28.494081,0
2013-06-19,29.000000,29.000000,29.000000,29.000000,28.494081,0
2013-06-20,29.000000,29.000000,29.000000,29.000000,28.494081,0
2013-06-21,27.200001,27.200001,27.200001,27.200001,26.827244,100
2013-06-24,26.150000,26.150000,26.150000,26.150000,25.791632,226
2013-06-25,26.150000,26.150000,26.150000,26.150000,25.791632,0
2013-06-26,26.799999,26.799999,26.799999,26.799999,26.432722,137
2013-06-27,27.799999,27.799999,27.799999,27.799999,27.419018,2177
2013-06-28,26.799999,26.799999,26.799999,26.799999,26.432722,271
2013-07-01,27.750000,27.750000,27.750000,27.750000,27.369707,786
